,Series1 - Start,Series1 - End,Series2 - Start,Series2 - End,t-Stat: A,p-value: A,t-Stat: T,p-value: T,t-Stat: C,p-value: C,t-Stat: G,p-value: G
0,1,2,3,30,2.937769,0.0065485,-3.4337003,0.0018723,-0.33629,0.7391595,1.0329316,0.3104757
1,1,3,4,30,4.2715076,0.0002021,-5.0693015,2.29e-05,-1.4252053,0.1651506,2.1764387,0.0381142
2,1,4,5,30,4.1242827,0.0003009,-5.204354,1.59e-05,-1.2201592,0.2325819,2.5683211,0.015843
3,1,5,6,30,4.7685514,5.22e-05,-5.7760803,3.3e-06,-1.2689479,0.2149073,2.0463996,0.05021
4,1,6,7,30,5.0423874,2.47e-05,-5.9500212,2.1e-06,-1.5904313,0.1229665,2.1129559,0.0436493
5,1,7,8,30,6.3834276,7e-07,-6.8737867,2e-07,-2.3846873,0.0241058,1.9288694,0.0639404
6,1,8,9,30,7.3929016,0.0,-7.7534707,0.0,-1.7687049,0.0878374,1.074593,0.2917304
7,1,9,10,30,7.9812183,0.0,-7.6108205,0.0,-1.5962283,0.1216641,0.3541844,0.7258541
8,1,10,11,30,8.8211572,0.0,-8.197392,0.0,-1.0592817,0.2985244,-0.2785256,0.7826556
9,1,11,12,30,7.2802903,1e-07,-6.9336791,2e-07,-0.7447345,0.4626377,-0.4612406,0.648189
10,1,12,13,30,5.9368243,2.2e-06,-5.4711364,7.7e-06,-0.9819285,0.334544,-0.4423071,0.6616648
11,1,13,14,30,5.4952772,7.2e-06,-5.3927857,9.5e-06,-0.2143455,0.831831,-0.7471152,0.4612224
12,1,14,15,30,5.3640509,1.03e-05,-5.5689668,5.9e-06,0.0441195,0.9651223,-0.5909091,0.5593215
13,1,15,16,30,5.3140363,1.18e-05,-5.4039364,9.2e-06,-0.4684823,0.6430665,-0.2096224,0.8354802
14,1,16,17,30,5.3346759,1.11e-05,-5.5281938,6.6e-06,-0.6925221,0.4943134,0.1498351,0.8819689
15,1,17,18,30,5.0570029,2.37e-05,-5.1243814,1.97e-05,-0.6117621,0.545631,-0.0684245,0.945934
16,1,18,19,30,4.6318829,7.58e-05,-4.7697558,5.2e-05,-0.7539412,0.4571784,0.2376873,0.8138543
17,1,19,20,30,4.7951189,4.86e-05,-5.0266946,2.58e-05,-0.6863082,0.4981632,0.2878417,0.7755878
18,1,20,21,30,3.8625318,0.0006068,-4.0360739,0.0003814,-0.8994755,0.3760703,0.5879783,0.5612597
19,1,21,22,30,3.3600871,0.0022636,-3.5462594,0.0013975,-0.7123473,0.4821439,0.5420773,0.5920536
20,1,22,23,30,3.3905398,0.002093,-3.5386658,0.0014254,-0.5585634,0.5808996,0.2930865,0.7716173
21,1,23,24,30,2.9089317,0.0070279,-3.2068829,0.0033463,-0.0953607,0.9247075,0.307378,0.7608304
22,1,24,25,30,2.5817637,0.0153553,-3.2894119,0.0027128,0.7140955,0.4810791,0.6387394,0.5281832
23,1,25,26,30,2.3612582,0.0254058,-2.9604411,0.0061935,0.8052196,0.4274782,0.3995169,0.6925437
24,1,26,27,30,2.0394552,0.0509424,-2.49883,0.0186008,0.7560192,0.4559515,0.2242413,0.8241978
25,1,27,28,30,1.7371652,0.0933485,-1.9781616,0.0578262,0.3197192,0.7515547,0.1123352,0.9113591
26,1,28,29,30,1.5375749,0.1353777,-1.5801299,0.1253091,-0.4857107,0.6309516,0.3241122,0.7482619
