,Series1 - Start,Series1 - End,Series2 - Start,Series2 - End,t-Stat: A,p-value: A,t-Stat: T,p-value: T,t-Stat: C,p-value: C,t-Stat: G,p-value: G
0,1,2,3,30,5.7746101,3.4e-06,-4.2193149,0.0002328,-2.2183322,0.0348146,-2.6055156,0.0145275
1,1,3,4,30,5.0844729,2.2e-05,-5.8009283,3.1e-06,-0.6248636,0.5371199,0.1333476,0.8948723
2,1,4,5,30,6.1011524,1.4e-06,-7.9712358,0.0,-0.6332765,0.5316921,0.7077324,0.4849613
3,1,5,6,30,6.6243996,3e-07,-7.5979989,0.0,-1.2713607,0.2140604,0.2711996,0.788227
4,1,6,7,30,7.2460536,1e-07,-7.1384783,1e-07,-1.9121313,0.0661409,-0.3028495,0.7642431
5,1,7,8,30,7.9632117,0.0,-7.3228899,1e-07,-2.248473,0.0326021,-0.5440797,0.5906933
6,1,8,9,30,8.2192724,0.0,-8.2384858,0.0,-2.0887697,0.0459397,-0.1570986,0.8762945
7,1,9,10,30,7.4564656,0.0,-8.1591232,0.0,-1.6815182,0.1037848,0.1343286,0.8941037
8,1,10,11,30,7.1075529,1e-07,-7.4008077,0.0,-2.0805553,0.0467415,0.1414748,0.8885078
9,1,11,12,30,6.2061649,1.1e-06,-7.1081732,1e-07,-1.9483733,0.0614568,0.7879339,0.4373554
10,1,12,13,30,5.8904025,2.5e-06,-6.9199825,2e-07,-1.7185578,0.096735,0.8812625,0.3856782
11,1,13,14,30,5.9780386,1.9e-06,-6.6771513,3e-07,-2.3238713,0.027613,0.8981121,0.3767841
12,1,14,15,30,5.3793456,9.8e-06,-6.4184815,6e-07,-1.5033636,0.1439417,0.983728,0.3336738
13,1,15,16,30,5.0053193,2.73e-05,-6.0093227,1.8e-06,-1.2882756,0.2081946,0.9905031,0.3304112
14,1,16,17,30,4.5998864,8.28e-05,-5.4584571,7.9e-06,-1.0849472,0.2871985,0.8772992,0.3877898
15,1,17,18,30,4.2155944,0.0002351,-4.9605921,3.09e-05,-0.9096066,0.3707938,0.7914728,0.435322
16,1,18,19,30,4.1118441,0.0003111,-4.6909851,6.45e-05,-1.1130984,0.2751312,0.7103407,0.4833678
17,1,19,20,30,3.9611577,0.0004663,-4.4203804,0.0001349,-1.3149782,0.1991857,0.7023118,0.4882826
18,1,20,21,30,3.4588547,0.0017542,-3.8373908,0.0006487,-1.0726743,0.2925757,0.5940496,0.5572485
19,1,21,22,30,3.3314026,0.0024365,-3.4677259,0.0017143,-1.6201495,0.1164098,0.4534412,0.6537259
20,1,22,23,30,3.1125634,0.004244,-3.2897129,0.0027108,-1.5697776,0.1277001,0.5922625,0.5584276
21,1,23,24,30,3.021787,0.0053223,-3.2577251,0.0029411,-1.6889924,0.1023285,0.8540463,0.4003274
22,1,24,25,30,2.671776,0.0124324,-2.9071883,0.0070579,-1.1647388,0.2539526,0.6429108,0.5255123
23,1,25,26,30,2.5998462,0.0147213,-2.6739582,0.0123684,-1.1104553,0.2762484,0.1754601,0.8619809
24,1,26,27,30,2.3679913,0.0250258,-2.2451689,0.0328383,-1.8721911,0.0716592,0.1302564,0.8972949
25,1,27,28,30,2.1880127,0.0371756,-2.0544369,0.0493739,-1.7403752,0.0927745,0.0492985,0.9610314
26,1,28,29,30,1.7009174,0.1000406,-1.6972275,0.1007439,-1.5962692,0.121655,0.5233153,0.6048722
