,Series1 - Start,Series1 - End,Series2 - Start,Series2 - End,t-Stat: A,p-value: A,t-Stat: T,p-value: T,t-Stat: C,p-value: C,t-Stat: G,p-value: G
0,1,2,3,30,4.5736385,8.89e-05,-4.6467785,7.28e-05,1.8603348,0.073372,-1.2020621,0.2394075
1,1,3,4,30,5.3180642,1.16e-05,-5.6259105,5e-06,3.684121,0.0009735,-2.395234,0.0235407
2,1,4,5,30,6.6730154,3e-07,-7.7123288,0.0,2.7793568,0.0096212,-1.1223455,0.271248
3,1,5,6,30,7.5166293,0.0,-9.333673,0.0,2.6416184,0.0133484,-0.7500308,0.4594925
4,1,6,7,30,8.4465474,0.0,-9.1327396,0.0,1.8651713,0.0726691,-0.783661,0.4398181
5,1,7,8,30,9.4698929,0.0,-9.1188976,0.0,1.2111785,0.2359507,-0.6721515,0.5069962
6,1,8,9,30,9.4307465,0.0,-8.5147489,0.0,1.1160898,0.2738706,-0.882233,0.3851623
7,1,9,10,30,8.424666,0.0,-7.331774,1e-07,0.660822,0.5141273,-0.7052912,0.4864555
8,1,10,11,30,8.1665354,0.0,-7.504161,0.0,0.7354843,0.4681611,-0.5033853,0.6186307
9,1,11,12,30,7.9688773,0.0,-7.4059422,0.0,0.1634188,0.8713626,0.1376663,0.8914894
10,1,12,13,30,7.8241888,0.0,-6.3792333,7e-07,-0.3557729,0.7246771,-0.1116993,0.9118588
11,1,13,14,30,6.977163,1e-07,-6.0368193,1.7e-06,-0.2342863,0.8164675,0.0143614,0.9886435
12,1,14,15,30,6.0909829,1.4e-06,-5.5556335,6.1e-06,-0.3386789,0.7373784,0.3697026,0.7143856
13,1,15,16,30,5.5885623,5.6e-06,-5.1177529,2.01e-05,-0.715832,0.4800227,0.7383878,0.4664233
14,1,16,17,30,5.3707194,1.01e-05,-4.9829662,2.91e-05,-0.6019115,0.5520763,0.692422,0.4943753
15,1,17,18,30,4.7411426,5.63e-05,-4.3488385,0.0001639,-0.6878528,0.4972047,0.6287873,0.5345847
16,1,18,19,30,4.2564977,0.0002105,-4.1967513,0.0002474,-0.4771577,0.6369532,0.9297708,0.3604369
17,1,19,20,30,4.1112986,0.0003116,-3.8630999,0.0006058,-0.8331693,0.4118003,0.9105511,0.3703044
18,1,20,21,30,3.95299,0.0004766,-3.6769933,0.0009919,-0.6404982,0.5270562,0.6133519,0.5445945
19,1,21,22,30,3.8044758,0.000708,-3.480953,0.0016565,-0.6743199,0.5056376,0.5066899,0.6163395
20,1,22,23,30,3.5025949,0.0015659,-3.2250918,0.0031954,-1.0636669,0.2965672,0.9372865,0.356626
21,1,23,24,30,3.0830487,0.0045694,-3.0842442,0.0045558,-0.7803362,0.4417403,1.2694914,0.2147164
22,1,24,25,30,2.4471895,0.0209299,-2.6511068,0.0130536,-0.4833829,0.6325825,1.4771478,0.1507963
23,1,25,26,30,2.0361573,0.0512935,-2.3304106,0.0272148,-0.0078024,0.9938299,1.2231535,0.2314667
24,1,26,27,30,1.7971277,0.0831104,-2.1613892,0.0393663,-0.0307234,0.9757081,1.4941617,0.1463185
25,1,27,28,30,1.609623,0.1186984,-1.5890208,0.1232851,-0.2881518,0.7753528,0.4790851,0.6355986
26,1,28,29,30,1.2757252,0.212535,-1.1689647,0.2522739,-0.0971411,0.9233064,-0.0764623,0.9395951
