,Series1 - Start,Series1 - End,Series2 - Start,Series2 - End,t-Stat: A,p-value: A,t-Stat: T,p-value: T,t-Stat: C,p-value: C,t-Stat: G,p-value: G
0,1,2,3,30,4.6307997,7.61e-05,-4.4915605,0.0001112,-2.3353568,0.026917,0.3091223,0.7595171
1,1,3,4,30,5.8693805,2.6e-06,-6.9568439,1e-07,-1.5050875,0.1434999,0.4619423,0.6476919
2,1,4,5,30,5.8227882,3e-06,-7.0916127,1e-07,-0.9545467,0.3479759,0.0770655,0.9391195
3,1,5,6,30,5.3925126,9.5e-06,-7.5435682,0.0,-0.4437824,0.6606105,0.3615606,0.7203946
4,1,6,7,30,5.4950776,7.2e-06,-7.2219742,1e-07,-1.0561803,0.299914,0.652671,0.5192915
5,1,7,8,30,6.6041214,4e-07,-8.1775539,0.0,-1.2120448,0.2356242,0.185691,0.8540257
6,1,8,9,30,6.3663865,7e-07,-8.5026951,0.0,-0.566158,0.5757964,-0.0775645,0.9387261
7,1,9,10,30,6.5236287,5e-07,-8.0757052,0.0,-0.4629621,0.6469697,-0.5452222,0.5899178
8,1,10,11,30,6.4950397,5e-07,-6.9377971,2e-07,-1.1954991,0.2419193,-0.4803055,0.6347415
9,1,11,12,30,5.8375194,2.8e-06,-6.1783144,1.1e-06,-1.2709215,0.2142144,-0.3377991,0.7380342
10,1,12,13,30,5.5940341,5.5e-06,-6.0460726,1.6e-06,-1.4360441,0.1620689,-0.0186208,0.9852757
11,1,13,14,30,4.9859208,2.88e-05,-5.4927589,7.2e-06,-1.5219277,0.1392417,0.3086844,0.7598467
12,1,14,15,30,4.4505113,0.0001243,-5.1259878,1.97e-05,-0.8442652,0.4056771,0.0625247,0.9505892
13,1,15,16,30,5.0127105,2.68e-05,-5.1632187,1.78e-05,-1.3052666,0.2024268,-0.299717,0.7666068
14,1,16,17,30,4.3522942,0.0001624,-4.3082475,0.000183,-1.1906205,0.2437991,-0.5186022,0.6081127
15,1,17,18,30,4.2345789,0.0002234,-4.201794,0.0002441,-0.8315015,0.4127256,-0.8376232,0.4093355
16,1,18,19,30,3.7753491,0.0007649,-3.9779072,0.0004458,-0.5352631,0.596694,-0.6291799,0.5343314
17,1,19,20,30,3.5832796,0.0012686,-3.7618196,0.0007928,-0.4084484,0.6860515,-0.7328066,0.4697672
18,1,20,21,30,3.0862768,0.0045327,-3.2990086,0.0026471,-0.4123839,0.6831985,-0.4653095,0.6453087
19,1,21,22,30,3.1022991,0.0043546,-2.959386,0.0062096,-0.5696984,0.5734251,-1.0484724,0.3033873
20,1,22,23,30,3.1685258,0.0036869,-2.8690581,0.0077457,-0.6088489,0.547533,-1.3810971,0.1781731
21,1,23,24,30,2.9057102,0.0070835,-2.5340258,0.017153,-1.0831851,0.2879662,-1.002442,0.3247151
22,1,24,25,30,2.529503,0.017333,-2.5451535,0.0167173,-0.3264123,0.7465398,-0.7585121,0.4544823
23,1,25,26,30,2.4494585,0.0208222,-2.4516839,0.020717,0.0760682,0.9399058,-1.2000439,0.2401778
24,1,26,27,30,2.2146928,0.0350907,-1.9985348,0.0554526,-0.5565786,0.5822369,-1.0010693,0.3253666
25,1,27,28,30,2.1033833,0.0445434,-1.9073504,0.0667814,-0.3141173,0.7557605,-1.1758559,0.2495539
26,1,28,29,30,1.75666,0.0899086,-1.6486578,0.1103948,-0.2271768,0.8219368,-0.8952666,0.3782767
