,Series1 - Start,Series1 - End,Series2 - Start,Series2 - End,t-Stat: A,p-value: A,t-Stat: T,p-value: T,t-Stat: C,p-value: C,t-Stat: G,p-value: G
0,1,2,3,30,3.7437112,0.0008317,-3.8723588,0.0005911,1.6085625,0.118931,-1.856925,0.0738711
1,1,3,4,30,3.6645372,0.001025,-4.8389372,4.31e-05,2.6503884,0.0130757,-1.2454539,0.223287
2,1,4,5,30,4.9607106,3.09e-05,-6.7072638,3e-07,1.1151867,0.2742508,0.2484465,0.8056022
3,1,5,6,30,6.8594408,2e-07,-7.7192116,0.0,0.3540008,0.7259902,-0.0137614,0.9891179
4,1,6,7,30,7.6444554,0.0,-6.9521326,1e-07,-0.447837,0.6577167,-0.0437742,0.9653951
5,1,7,8,30,8.490118,0.0,-6.8973572,2e-07,-0.6281678,0.5349846,-0.3141374,0.7557453
6,1,8,9,30,7.623864,0.0,-6.8306549,2e-07,-0.5656569,0.5761324,0.0228028,0.9819693
7,1,9,10,30,5.6430404,4.8e-06,-5.2110779,1.56e-05,-0.3177017,0.7530685,-0.2062089,0.8381198
8,1,10,11,30,5.2172833,1.53e-05,-5.2820441,1.28e-05,-0.1986368,0.8439821,0.1928748,0.8484493
9,1,11,12,30,5.2721018,1.32e-05,-5.3678163,1.02e-05,-0.4721131,0.6405049,0.5581793,0.5811582
10,1,12,13,30,5.6996754,4.1e-06,-5.543954,6.3e-06,-0.7186728,0.4782975,0.5831164,0.5644825
11,1,13,14,30,5.5776447,5.7e-06,-5.0129359,2.68e-05,-0.9026977,0.3743869,0.3246979,0.7478232
12,1,14,15,30,4.9969877,2.8e-05,-4.383989,0.000149,-1.1005112,0.280481,0.3778569,0.7083863
13,1,15,16,30,5.0286004,2.56e-05,-4.2358634,0.0002226,-1.236148,0.2266735,0.2737388,0.7862946
14,1,16,17,30,5.3028164,1.21e-05,-4.6156329,7.93e-05,-1.2465408,0.2228939,0.5084624,0.6151121
15,1,17,18,30,5.0446702,2.45e-05,-4.1251971,0.0003001,-1.6014561,0.1204994,0.4866154,0.6303183
16,1,18,19,30,4.6789551,6.67e-05,-4.2803901,0.0001973,-1.1804341,0.2477588,0.7312435,0.4707062
17,1,19,20,30,4.5498184,9.49e-05,-4.3931983,0.0001453,-1.1449582,0.2619194,1.0456565,0.3046632
18,1,20,21,30,4.0306494,0.000387,-3.702314,0.0009279,-0.9478213,0.3513295,0.4838803,0.6322339
19,1,21,22,30,4.1120665,0.0003109,-3.743508,0.0008322,-1.1724567,0.2508928,0.6865499,0.4980131
20,1,22,23,30,3.6755598,0.0009957,-3.5090474,0.0015398,-1.5839378,0.1244389,1.5036188,0.1438762
21,1,23,24,30,3.1528623,0.0038354,-3.3236724,0.0024853,-1.3341093,0.192918,1.9357538,0.0630539
22,1,24,25,30,2.5476851,0.0166197,-2.9687286,0.0060683,-0.9180272,0.3664453,2.0999645,0.0448666
23,1,25,26,30,2.0913061,0.0456945,-2.4669314,0.0200095,-0.4983801,0.6221086,1.5178046,0.1402747
24,1,26,27,30,1.8372043,0.0768154,-2.2358557,0.0335123,-0.285432,0.7774141,1.3561177,0.1858979
25,1,27,28,30,1.6590019,0.1082772,-1.634509,0.1133469,-0.6673118,0.5100357,0.6908534,0.4953456
26,1,28,29,30,1.4012414,0.1721289,-1.3127969,0.1999101,-0.3504367,0.7286337,0.1263338,0.9003705
